Ruc;Razón Social;Fecha Liquidación;Sector;Segmento;Provincia;Costo Contingente;Beneficiarios
1291722039001;COOPERATIVA DE AHORRO Y CREDITO EL CAFETAL ENLIQUIDACION;2023-10-30;COOP - SFPS;5;LOS RIOS;$75.058,34;132
0190365980001;COOPERATIVA DE AHORRO Y CREDITO DEL SINDICATO DE CHOFERES PROFESIONALES DEL AZUAY LTDA. ENLIQUIDACION;2023-09-25;COOP - SFPS;4;AZUAY;$148.709,38;1.821
1191736989001;COOPERATIVA DE AHORRO Y CREDITO EL COMERCIANTE LTDA. ENLIQUIDACION;2023-09-05;COOP - SFPS;4;LOJA;$112.164,34;1.284
0990258953001;COOPERATIVA DE AHORRO Y CREDITO ARMADA NACIONAL ENLIQUIDACION;2023-06-28;COOP - SFPS;2;GUAYAS;$9.245.330,11;3.918
1891718612001;COOPERATIVA DE AHORRO Y CREDITO MULTICULTURAL INDIGENA LTDA. ENLIQUIDACION;2023-02-13;COOP - SFPS;5;TUNGURAHUA;$5.843,90;890
0691718301001;COOPERATIVA DE AHORRO Y CREDITO 4 DE OCTUBRE SAN FRANCISCO DE CHAMBO ENLIQUIDACION;2022-12-21;COOP - SFPS;5;CHIMBORAZO;$3.759,18;4
1891728340001;COOPERATIVA DE AHORRO Y CREDITO EL ESFUERZO LTDA ENLIQUIDACION;2022-10-13;COOP - SFPS;5;TUNGURAHUA;$19.268,97;332
1191704750001;COOPERATIVA DE AHORRO Y CREDITO 29 DE ENERO CHAGUARPAMBA ENLIQUIDACION;2022-09-28;COOP - SFPS;5;LOJA;$174.337,57;2.030
0791746566001;COOPERATIVA DE AHORRO Y CREDITO SOCIO AMIGO COOPSA ENLIQUIDACION;2022-09-21;COOP - SFPS;5;EL ORO;$30.118,51;455
0691732398001;COOPERATIVA DE AHORRO Y CREDITO LUZ DE AMERICA LTDA. ENLIQUIDACION;2022-04-07;COOP - SFPS;5;CHIMBORAZO;$12.566,28;414
1391700059001;COOPERATIVA DE AHORRO Y CREDITO SAN MIGUEL DE CHIRIJO LIMITADA ENLIQUIDACION;2021-10-25;COOP - SFPS;5;MANABI;$126.238,79;1.569
0591713582001;COOPERATIVA DE AHORRO Y CREDITO TAWANTINSUYU LTDA. ENLIQUIDACION;2021-09-01;COOP - SFPS;5;COTOPAXI;$49.204,32;778
1391793790001;COOPERATIVA DE AHORRO Y CREDITO INTERCULTURAL BOLIVARIANA LTDA. ENLIQUIDACION;2021-05-20;COOP - SFPS;5;CHIMBORAZO;$9.124,01;171
1790394077001;COOPERATIVA DE AHORRO Y CREDITO SANTA CLARA DE SAN MILLAN LTDA. ENLIQUIDACION;2021-05-19;COOP - SFPS;5;PICHINCHA;$81.846,06;418
1792249252001;COOPERATIVA DE AHORRO Y CREDITO NUEVO AMANECER LTDA. - PICHINCHA ENLIQUIDACION;2021-03-31;COOP - SFPS;5;PICHINCHA;$7.371,92;90
0591715879001;COOPERATIVA DE AHORRO Y CREDITO LOS ANDES DEL COTOPAXI LTDA. ENLIQUIDACION;2021-03-11;COOP - SFPS;5;COTOPAXI;$3.612,21;5
1891700136001;COOPERATIVA DE AHORRO Y CREDITO DE LA CORPORACION DE ORGANIZACIONES CAMPESINAS INDIGENAS DE QUISAPINCHA COCIQ ENLIQUIDACION;2021-02-24;COOP - SFPS;5;TUNGURAHUA;$43.701,46;1.210
1891706150001;COOPERATIVA DE AHORRO Y CREDITO MUSHUC ÑAN LTDA. ENLIQUIDACION;2020-11-16;COOP - SFPS;4;TUNGURAHUA;$219.562,22;4.963
2490002092001;COOPERATIVA DE AHORRO Y CREDITO VISION INTEGRAL ENLIQUIDACION;2020-07-23;COOP - SFPS;5;SANTA ELENA;$674,84;4
1792352770001;COOPERATIVA DE AHORRO Y CREDITO JATUN PAMBA LTDA. ENLIQUIDACION;2020-06-18;COOP - SFPS;5;PICHINCHA;$88.381,80;434
0291505279001;COOPERATIVA DE AHORRO Y CREDITO KULLKY MINKANA WASI LTDA ENLIQUIDACION;2020-01-21;COOP - SFPS;5;BOLIVAR;$9.256,77;56
0691736288001;COOPERATIVA DE AHORRO Y CREDITO MUSHUK PAKARI LTDA EN LIQUIDACION;2020-01-15;COOP - SFPS;5;CHIMBORAZO;$7.034,33;12
1791384210001;COOPERATIVA DE AHORRO Y CREDITO BENITO JUAREZ ENLIQUIDACION;2019-10-17;COOP - SFPS;5;PICHINCHA;$1.000,00;1
0691737020001;COOPERATIVA DE AHORRO Y CREDITO ACHIK PAKARI LTDA ENLIQUIDACION;2019-05-30;COOP - SFPS;5;CHIMBORAZO;$6.286,78;7
1891721389001;COOPERATIVA DE AHORRO Y CREDITO INDIGENA DEL ECUADOR - TUNGURAHUA ENLIQUIDACION;2019-05-30;COOP - SFPS;5;TUNGURAHUA;$76.188,99;1.392
0691728668001;COOPERATIVA DE AHORRO Y CREDITO TOTORAS COACTOT ENLIQUIDACION;2019-05-09;COOP - SFPS;5;CHIMBORAZO;$27.599,19;602
1290025202001;COOPERATIVA DE AHORRO Y CREDITO QUEVEDO LTDA. ENLIQUIDACION;2018-10-23;COOP - SFPS;4;LOS RIOS;$249.354,89;681
1191707776001;COOPERATIVA DE AHORRO Y CREDITO 27 DE ABRIL ENLIQUIDACION;2018-10-12;COOP - SFPS;5;LOJA;$226.286,14;3.049
0391013152001;COOPERATIVA DE AHORRO Y CREDITO ECUACHASKI ENLIQUIDACION;2018-09-18;COOP - SFPS;5;CANAR;$32.931,09;341
1091719653001;COOPERATIVA DE AHORRO Y CREDITO MARIA AUXILIADORA DE QUIROGA LTDA. ENLIQUIDACION;2018-09-12;COOP - SFPS;5;IMBABURA;$45.415,93;963
0391013756001;COOPERATIVA DE AHORRO Y CREDITO SINCHI CODEFIS;2018-08-31;COOP - SFPS;5;CANAR;$135.958,36;983
1191738248001;COOPERATIVA DE AHORRO Y CREDITO MUSHUKWASI;2018-08-29;COOP - SFPS;5;LOJA;$7.122,01;331
1792037433001;COOPERATIVA DE AHORRO Y CREDITO UVECOOP LTDA UNION VASCO ECUATORIANA;2018-08-02;COOP - SFPS;4;PICHINCHA;$88.514,84;1.433
0991313656001;COOPERATIVA DE AHORRO Y CREDITO 19 DE SEPTIEMBRE;2018-06-21;COOP - SFPS;5;GUAYAS;$72.248,46;110
0591723693001;COOPERATIVA DE AHORRO Y CREDITO SANTA BARBARA;2018-06-14;COOP - SFPS;5;COTOPAXI;$66.432,13;468
1891727190001;COOPERATIVA DE AHORRO Y CREDITO MULTISERVICIOS ENLIQUIDACION;2018-06-14;COOP - SFPS;5;TUNGURAHUA;$12.311,51;295
